,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
1020,Protesters (Haiti),,Ouest,Port-au-Prince,Gressier,Students (Haiti),,Haiti,6958531,2019-05-28,HTI111,111,Protests,0,1,6,0,60,332,HTI,18.5409,Gressier,-72.5268,"On 28 May 2019, high school students in Gressier, Haiti, blocked roads in protest against the absence of teachers and poor conditions of the school. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1021,Protesters (Dominican Republic),,Santo Domingo,Los Alcarrizos,,,,Dominican Republic,6939865,2019-05-28,DOM12,12,Protests,0,1,6,0,60,214,DOM,18.5234,Los Alcarrizos,-70.0328,"On May 28, 2019, in Los Alcarrizos, Santo Domingo, Ozama, young people carried out a march from Santiago and reached Los Alcarrizos where they staged a demonstration against the reform of the constitution that would allow the current president to run again as president. [size=63]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
1022,Protesters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6958625,2019-05-27,HTI109,109,Protests,0,1,6,0,60,332,HTI,18.5125,Petion-Ville,-72.2853,"On 27 May 2019, protesters gathered on the streets on Petion-Ville, Ouest, against violence after the death of a police inspector the day before. [size=no report]",Caribbean,Loop News Haiti,National,Peaceful protest,1,1582840328,2019
1023,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Students (Haiti),,Haiti,6958490,2019-05-27,HTI110,110,Riots,0,1,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 29 May 2019, students of the 'Students without Work' group from the State University of Haiti erected barricades and set tires on fire in Port-au-Prince against brain drain and government policies. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840328,2019
1024,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint James,,,,Government of Jamaica (2016-),Jamaica,6958828,2019-05-27,JAM67,67,Violence against civilians,0,1,3,7,37,388,JAM,18.4712,Montego Bay,-77.9188,"On May 27, 2019, in Montego Bay, Saint James, Cornwall County, an unidentified armed group shot against a Councilmen who managed to escape with no injuries. No motive for this attack has been specified.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1025,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint Mary,,,,Women (Ecuador),Jamaica,6958893,2019-05-26,JAM64,64,Violence against civilians,1,1,3,7,37,388,JAM,18.2717,Annotto Bay,-76.7652,"On May 26, 2019, in Annotto Bay, Saint Mary, Middlesex County, a female merchant was shot and killed by two armed men when she was travelling on a motorcycle with a man. The man was injured.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1026,Rioters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6926130,2019-05-26,HTI105,105,Riots,0,1,5,0,50,332,HTI,18.5125,Petion-Ville,-72.2853,"On 26 May 2019, rioters burned tires and blocked roads in Petion-Ville, Haiti, in response to the shooting of a police inspector a few hours before. [size=no report]",Caribbean,Le Nouvelliste; Loop News Haiti,National,Violent demonstration,1,1582839778,2019
1027,Unidentified Gang (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Petion-Ville,,Police Forces of Haiti (2011-),Haiti,6926131,2019-05-26,HTI106,106,Violence against civilians,1,1,3,7,37,332,HTI,18.5125,Petion-Ville,-72.2853,"On 26 May 2019, an off-duty police inspector was shot and killed by unknown gunmen in Petion-Ville, Haiti. He was well known for his tough stance against organized crime and gangs. His death sparked a demonstration the following day.",Caribbean,Loop News Haiti; Le Nouvelliste,National,Attack,1,1582839778,2019
1028,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Women (Haiti); Students (Haiti),,Haiti,6926132,2019-05-26,HTI108,108,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 26 May 2019, more than a thousand protesters, many of whom are women and students, marched for Mother's Day in Port-au-Prince, Haiti, against sexual violence after two students were gang-raped earlier that week. [size=1000]",Caribbean,France Info; Le Nouvelliste; Loop News Haiti; AFP,National-International,Peaceful protest,1,1582839778,2019
1029,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958411,2019-05-26,HTI107,107,Riots,0,1,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 26 May 2019, rioters erected barricades of burning tires and threw stones in front of the parliament in Port-au-Prince, Haiti. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
1030,Unidentified Armed Group (Jamaica),Police Forces of Jamaica (2016-),Clarendon,,,,,Jamaica,6958809,2019-05-26,JAM65,65,Battles,0,1,3,1,13,388,JAM,17.9645,May Pen,-77.2452,"On May 26, 2019, in May Pen, Clarendon, Middlesex County, two officers confronted an armed group that were stealing objects and money from people around the sector. The group had been heavily armed and when they noticed the police forces and shot at them. Both officers were injured.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
1031,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint Ann,,,,,Jamaica,6958845,2019-05-26,JAM66,66,Violence against civilians,1,1,3,7,37,388,JAM,18.4358,Saint Ann's Bay,-77.2010,"On May 26, 2019, in Saint Ann's Bay, Middlesex County, a man was shot and killed by an unidentified armed group while he was in his car. Men approached the car while it was standing and killed the man.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1032,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Clarendon,,,,Labour Group (Jamaica),Jamaica,6958852,2019-05-25,JAM63,63,Violence against civilians,1,1,3,7,37,388,JAM,17.9645,May Pen,-77.2452,"On May 25, 2019, in May Pen, Middlesex County, a man was shot and killed and a woman was injured by two men while they were working in a tailor shop.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1033,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Clarendon,,,,,Jamaica,6958882,2019-05-24,JAM62,62,Violence against civilians,2,1,3,7,37,388,JAM,17.9645,May Pen,-77.2452,"On May 24, 2019, in May Pen, Middlesex County, two men were killed by two gunmen.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1034,Unidentified Gang (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958639,2019-05-24,HTI103,103,Violence against civilians,1,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 24 May 2019, two people were kidnapped, and one was subsequently killed in the Canaan area of Port-au-Prince, Haiti, by gang members clad in police uniforms. One body was found in a nearby shack. The fate of the other person was not reported. Afterwards angry residents attacked and set fire to a hideout of local gang leaders in response, who reportedly retaliated with more attacks.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
1035,Unidentified Gang (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958743,2019-05-24,HTI104,104,Violence against civilians,3,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 24 May 2019, residents of the Canaan area in Port-au-Prince, Haiti, set fire to a hideout of local gang leaders, after they had kidnapped and killed a resident. Gang members retaliated with a series of killings during which an unknown number of people died. Several residents fled their homes. Unknown fatalities coded as 3.",Caribbean,Loop News Haiti,National,Attack,1,1582840329,2019
1036,Protesters (Puerto Rico),,San Juan,,,Teachers (Puerto Rico),,Puerto Rico,6945350,2019-05-23,PRT95,95,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On May 23, 2019, in San Juan City, retired members of the teachers federation marched until La Fortaleza as a demonstration to demand their pension funds and to demand that their money does not go to a general fund, as the government had intended to. [size=no report]",Caribbean,El Vocero de Puerto Rico,National,Peaceful protest,1,1582840210,2019
1037,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958410,2019-05-23,HTI102,102,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On May 23, 2019, in Port-au-Prince, Haiti, protesters outside of Social Housing Department demanded the reconstruction of the houses of the residents of Pelerin 5 which had been demolished 10 months before. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1038,Protesters (Haiti),,Ouest,Leogane,Leogane,Students (Haiti); Labour Group (Haiti),,Haiti,6958424,2019-05-23,HTI100,100,Protests,0,1,6,0,60,332,HTI,18.5111,Leogane,-72.6334,"On May 23, 2019, in Leogane, Haiti, thousands of protesters, many of whom entrepreneurs, motorcycle taxi drivers and students, marched the streets against rising insecurity in the town. The protest followed after the death of a boy and a police officer in the area the day before. [size=thousands]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1039,Police Forces of Haiti (2011-),Unidentified Armed Group (Haiti),Ouest,Leogane,Leogane,,,Haiti,6958698,2019-05-23,HTI99,99,Battles,1,2,1,3,13,332,HTI,18.5111,Leogane,-72.6334,"On May 23, 2019, a police officer was shot and killed by unknown gunmen in Brache, Leogane coded at Leogane, Ouest, Haiti.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
1040,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),San Juan-Laventille,,,,,Trinidad and Tobago,6962540,2019-05-23,TTQ82,82,Violence against civilians,2,1,3,7,37,780,TTO,10.6579,San Juan,-61.4457,"On May 23, 2019, in San Juan, San Juan-Laventille, two men were shot and killed at a bar by two gunmen. The motive is still unknown.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1041,Protesters (Trinidad and Tobago),,Penal-Debe,,,,,Trinidad and Tobago,6962602,2019-05-23,TTQ81,81,Protests,0,1,6,0,60,780,TTO,10.2085,Debe,-61.4527,"On May 23, 2019, in Debe, Penal-Debe, parents of students staged a demonstration inside the campus of a school demanding authorities to demand that they repair and improve conditions of the school to focus on the student's welfare rather than the problems that have occurred between the parent association and the authorities. [size=no report]",Caribbean,Newsday Trinidad and Tobago,National,Peaceful protest,1,1582840340,2019
1042,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Students (Haiti),,Haiti,6958508,2019-05-23,HTI101,101,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On May 23, 2019, in Port-au-Prince, Haiti, university students of the Faculty of Humanity blocked the entrance of the building in a protest against corruption of the faculty director. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1043,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Croix-des-Bouquets,Croix-des-Bouquets,,Women (Haiti),Haiti,6958529,2019-05-23,HTI98,98,Violence against civilians,0,1,3,7,37,332,HTI,18.5238,Jacquet,-72.1334,"On May 23, 2019, a girl was shot and injured by two unknown gunmen driving a motorbike in the city of Jacquet, Croix-des-Bouquets, Ouest, Haiti.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
1044,Protesters (Dominican Republic),,Duarte,San Francisco de Macoris,,Labour Group (Dominican Republic),,Dominican Republic,6939901,2019-05-23,DOM11,11,Protests,0,1,6,0,60,214,DOM,19.3010,San Francisco de Macoris,-70.2526,"On May 23, 2019, in San Francisco de Macoris, Cibao Nordeste, members of ASODEMU (Higher education workers association) staged a demonstration by blocking the entry to the main offices. They demanded that members that had their contracts changed to occasional or other similar contracts to be changed as they were before. Also, they demanded their wages and extra hours are paid to all members, including the members of security of the campus. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
1045,Unidentified Armed Group (Trinidad and Tobago),Private Security Forces (Trinidad and Tobago),Port of Spain,,,,,Trinidad and Tobago,6969621,2019-05-22,TTQ79,79,Battles,1,1,3,8,38,780,TTO,10.6667,Port of Spain,-61.5189,"On May 22, 2019, in Port of Spain City, a security guard was shot and killed in a cargo ship by an unidentified armed group. He was found gagged and shot in the head.",Caribbean,Trinidad and Tobago Guardian,National,Armed clash,1,1582840377,2019
1046,Unidentified Gang (Haiti),Unidentified Gang (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958638,2019-05-22,HTI95,95,Battles,0,1,3,3,33,332,HTI,18.5435,Port-au-Prince,-72.3388,"On May 22, 2019, in Port-au-Prince, two gangs clashed with each other on the La Saline Boulevard, wounding several gang members during the shoot-out. Panic ensued in the area.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
1047,Unidentified Armed Group (Haiti),Civilians (Haiti),Artibonite,Marmelade,Saint-Michel-de-l'Atalaye,,,Haiti,6958420,2019-05-22,HTI97,97,Violence against civilians,2,1,3,7,37,332,HTI,19.3708,Saint-Michel-de-l'Atalaye,-72.3347,"On May 22, 2019, five people were shot by unknown gunmen in the city of Saint-Michel de L'ataye, Marmelade, Artibonite, Haiti. Two people died as a result of their injuries. One elderly woman died of a heart attack during the shooting.",Caribbean,Le Nouvelliste,National,Attack,1,1582840327,2019
1048,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6945377,2019-05-22,PRT94,94,Violence against civilians,0,1,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On May 22, 2019, in San Juan City, in the sector of Cupey, a man was badly injured after being shot by 2 members of an unidentified armed group. He was shot in the stomach and then was taken to the hospital.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
1049,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Delmas,,Teachers (Haiti),Haiti,6958469,2019-05-22,HTI92,92,Violence against civilians,1,1,3,7,37,332,HTI,18.5447,Delmas,-72.3028,"On May 22, 2019, a professor at the University of Haiti was killed in Delmas by five unidentified gunmen on a motorcycle.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
1050,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Students (Haiti),,Haiti,6958496,2019-05-22,HTI96,96,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On May 22, 2019, nursing students blocked a road in Port-au-Prince, Ouest, Haiti, to demand better students conditions. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1051,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),San Juan-Laventille,,,,,Trinidad and Tobago,6962600,2019-05-22,TTQ80,80,Violence against civilians,2,1,3,7,37,780,TTO,10.6579,San Juan,-61.4457,"On May 22, 2019, two men were shot and killed by two unknown gunmen at a bar in the city of San Juan, San Juan-Laventille, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1052,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958506,2019-05-22,HTI93,93,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On May 22, 2019, residents of Poteau, a section of the city of Gonaives, Artibonite, Haiti, blocked a road and protested to demand that drivers respect the set prices of transportation in Poteau. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1053,Rioters (Haiti),Unidentified Armed Group (Haiti),Nippes,Miragoane,Miragoane,,,Haiti,6958334,2019-05-22,HTI94,94,Riots,0,1,5,3,35,332,HTI,18.4423,Miragoane,-73.0876,"On May 22, 2019, rioters burned tires during a protest against the head of the National Port Authority (APN) in front of the institution in the city of Miragoane, Nippes, Haiti. One person was shot and injured during the protest by an alleged ally of the APN. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
1054,Unidentified Gang (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Government of Haiti (2011-),Haiti,6958365,2019-05-21,HTI91,91,Violence against civilians,0,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 21 May 2019, a government commissioner narrowly survived an assassination attempt when gunmen riddled his car with bullets in Port-au-Prince, Haiti. He speculated that criminals were targeting police officials to destabilise the police forces.",Caribbean,Le Nouvelliste,National,Attack,1,1582840327,2019
1055,Protesters (Bahamas),,New Providence,,,Labour Group (Bahamas),,Bahamas,6969204,2019-05-21,BHS3,3,Protests,0,1,6,0,60,44,BHS,25.0582,Nassau,-77.3431,"On May 21 2019, in Nassau, New Providence, workers of the National Insurance Board staged a demonstration by blocking the street in front of their main offices to report the company of their operations that leave workers without their benefits including maternity benefits and claim that the system of compensations and payments is inefficient because of the way the system is corrupted, and they blamed the director of the Board of it. [size=no report]",Caribbean,The Nassau Guardian,National,Peaceful protest,1,1582840375,2019
1056,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Arima,,,,,Trinidad and Tobago,6962570,2019-05-21,TTQ78,78,Violence against civilians,1,1,3,7,37,780,TTO,10.6374,Arima,-61.2823,"On May 21, 2019, a man was shot and killed by two unknown gunmen in the Lovers Lane area of the Wallerfield Town in Arima, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1057,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint James,,,,,Jamaica,6958837,2019-05-21,JAM61,61,Violence against civilians,0,1,3,7,37,388,JAM,18.4712,Montego Bay,-77.9188,"On May 21, 2019, in Montego Bay, Cornwall County, 3 occupants of a truck were shot and badly injured when they were attacked by an unidentified armed group who it was believe wanted to steal money they were transporting.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1058,Police Forces of Puerto Rico (2017-2019),Unidentified Armed Group (Puerto Rico),Salinas,,,,,Puerto Rico,6941235,2019-05-20,PRT93,93,Battles,0,1,1,3,13,630,PRI,17.9775,Salinas,-66.2980,"On May 20, 2019, the police were shot at when halting a vehicle in the city of Salinas, Puerto Rico. No injuries reported.",Caribbean,El Nuevo Dia (Puerto Rico),National,Armed clash,1,1582839952,2019
1059,Protesters (Haiti),,Sud,Les Cayes,Les Cayes,Students (Haiti),,Haiti,6958355,2019-05-18,HTI88,88,Protests,0,1,6,0,60,332,HTI,18.1933,Les Cayes,-73.7460,"On May 18, 2019, in Les Cayes, Haiti, students protested on the occasion of the national flag day for better conditions at the university. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1060,Protesters (Haiti),,Nord,Limbe,Limbe,,,Haiti,6958367,2019-05-18,HTI89,89,Protests,0,1,6,0,60,332,HTI,19.7060,Limbe,-72.4034,"On May 18, 2019, in Limbe, Haiti, around 100 people of the _ride Vertieres_organization, mainly children, held a protest against violence on the occasion of the national flag day. [size=100]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1061,Savien Gang,Civilians (Haiti),Artibonite,Dessalines,Petite Riviere de l'Artibonite,,Voodoo Group (Haiti),Haiti,6958690,2019-05-18,HTI90,90,Violence against civilians,1,1,3,7,37,332,HTI,19.1240,Petite Riviere de l'Artibonite,-72.4817,"On May 18, 2019, members of the Davien Gang kidnapped a voodoo priest and killed him after severely injuring him, allegedly an act of retaliation. The event took place in Petite Riviere de Artibonite, Dessalines, Artibonite, Haiti.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
1062,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,Students (Haiti); Lawyers (Haiti),,Haiti,6958472,2019-05-18,HTI87,87,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On May 18, 2019, in Gonaives, Haiti, dozens of lawyers and law students protested demanding the authorities take measures to improve security. [size=dozens]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1063,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Carolina,,,,,Puerto Rico,6941249,2019-05-17,PRT92,92,Violence against civilians,1,1,3,7,37,630,PRI,18.3808,Carolina,-65.9574,"On May 17, 2019, a man was found shot dead, with his hands and feet tied in the Cacao neighborhood in the city of Carolina, Puerto Rico.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,2,1582839952,2019
1064,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Croix-des-Bouquets,Croix-des-Bouquets,,,Haiti,6958421,2019-05-17,HTI86,86,Battles,1,1,3,1,13,332,HTI,18.5768,Croix-des-Bouquets,-72.2263,"On May 17, 2019, a police man was shot and killed by unknown gunmen in the city of Croix-des-Bouquest, Ouest, Haiti.",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840327,2019
1065,Protesters (Dominican Republic),,Monsenor Nouel,Bonao,,,,Dominican Republic,6939876,2019-05-17,DOM10,10,Protests,0,1,6,0,60,214,DOM,18.9369,Bonao,-70.4092,"On May 17, 2019, inhabitants of the city of Bonao, Monsenor Mouel, Cibao Sur, Dominican Republic, burned their electricity bills to protest high electricity prices and lack of services. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
1066,Protesters (Haiti),,Artibonite,Dessalines,Dessalines,,,Haiti,6958413,2019-05-16,HTI85,85,Protests,0,1,6,0,60,332,HTI,19.2011,Villard,-72.5964,"On May 16, 2019, demonstrators blocked a road in the city of Villard, Dessalines, Artibonite, Haiti, to demand the release of 9 of 53 people arrested by the police earlier that month. The police arrested the individuals as they are allegedly related to the Arnel Joseph Gang. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1067,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958463,2019-05-15,HTI84,84,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On May 15, 2019, protesters took the streets in the city of Gonaives, Artibonite, Haiti, to demand government intervention against the increasing banditry in the city. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
1068,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Caguas,,,,,Puerto Rico,6928298,2019-05-13,PRT91,91,Violence against civilians,1,1,3,7,37,630,PRI,18.2341,Caguas,-66.0485,"On May 13, 2019, six people were shot by several unknown gunmen at a birthday celebration in the city of Caguas, Puerto Rico. One man died as a result of his injuries.",Caribbean,El Nuevo Dia (Puerto Rico); El Vocero de Puerto Rico,National,Attack,1,1582839785,2019
1069,Unidentified Gang (Jamaica),Unidentified Gang (Jamaica),Kingston,,,,,Jamaica,6958772,2019-05-13,JAM60,60,Battles,1,1,3,3,33,388,JAM,17.9970,Kingston,-76.7936,"On May 13, 2019, a man was shot and killed by unknown gunmen in the area of Maxfiel Park, Saint Andrew parish coded at Kingston, Jamaica. The shooting was allegedly gang-related.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
1070,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Delmas,,,Haiti,6958339,2019-05-12,HTI83,83,Battles,1,1,3,1,13,332,HTI,18.5447,Delmas,-72.3028,"On May 12, 2019, a police man was shot and killed by unknown gunmen on a motorcycle in the Gerald Bataille area in the city of Delmas, Port-au-Prince, Ouest, Haiti.",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840327,2019
1071,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Loiza,,,,,Puerto Rico,6945398,2019-05-12,PRT90,90,Violence against civilians,1,1,3,7,37,630,PRI,18.4313,Loiza,-65.8820,"On May 12, 2019, a man was shot and injured by unknown gunmen in a drive-by shooting in the city of Loiza, Puerto Rico.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
1072,Protesters (Cuba),Police Forces of Cuba (1959-),Habana,Habana,,LGBT (Cuba),,Cuba,6925915,2019-05-11,CUB6,6,Protests,0,1,6,1,16,192,CUB,23.1330,Habana,-82.3830,"On May 11, 2019, a march for LGBTQ rights took place in La Habana, Centro Habana, Cuba. The police arrested multiple protesters. [size=no report]",Caribbean,CiberCuba; CubaNet,National,Protest with intervention,1,1582839777,2019
1073,Unidentified Armed Group (Haiti),Private Security Forces (Haiti),Ouest,Leogane,Leogane,,,Haiti,6958695,2019-05-11,HTI82,82,Battles,1,1,3,8,38,332,HTI,18.5111,Leogane,-72.6334,"On May 11, 2019, a security guard was shot and killed by unknown gunmen at the Chatuley market in the city of Leogane, Ouest, Haiti.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
1074,Unidentified Gang (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6962608,2019-05-11,TTQ77,77,Violence against civilians,1,1,3,7,37,780,TTO,10.5935,La Horquetta,-61.2747,"On May 11, 2019, a man was shot and killed by unknown gunmen in the city of La Horquetta, Arima, Trinidad and Tobago. The event was allegedly related to the Rasta City Gang - Muslim gang feud.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1075,Unidentified Armed Group (Puerto Rico),Unidentified Armed Group (Puerto Rico),Fajardo,,,,,Puerto Rico,6945394,2019-05-10,PRT89,89,Battles,1,1,3,3,33,630,PRI,18.3258,Fajardo,-65.6524,"On May 10, 2019, a man was shot and killed during a shoot-out between two cars in the Sardinera neighborhood in the city of Fajardo, Puerto Rico.",Caribbean,El Vocero de Puerto Rico,National,Armed clash,1,1582840210,2019
1076,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Labour Group (Haiti),,Haiti,6958331,2019-05-10,HTI81,81,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On May 10, 2019, merchants took the streets of Port-au-Prince, Ouest, Haiti, to demand government intervention against the increasing insecurity in the capital city. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
1077,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,Police Forces of Jamaica (2016-),Jamaica,6958868,2019-05-08,JAM59,59,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On May 8, 2019, a police man was shot and killed by unknown gunmen near a bar in Rollington Town in the Eastern part of the city of Kingston, Surrey County, Jamaica.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1078,Rioters (Dominican Republic),Police Forces of Dominican Republic (2004-),Santiago,Villa Bisono,,,,Dominican Republic,6939873,2019-05-07,DOM9,9,Riots,1,1,5,1,15,214,DOM,19.5667,Mejia de Navarrete,-70.8833,"On May 7, 2019, a man was killed during a riot during which the participants threw tree trunks and other objects in the town of Navarrete, Biono, Santiago, Cibao Norte, Dominican Republic. The police attempted controlling the situation. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Mob violence,1,1582839948,2019
1079,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6958874,2019-05-06,JAM58,58,Violence against civilians,1,2,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On May 6, 2019, a 15-year old boy was stabbed and killed by a group of men in the parish of Saint Andrew parish coded at Kingston, Jamaica.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1080,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Carrefour,,Government of Haiti (2011-),Haiti,6958429,2019-05-06,HTI78,78,Violence against civilians,1,1,3,7,37,332,HTI,18.5411,Carrefour,-72.3992,"On May 6, 2019, a government official was shot and killed by unknown gunmen in the city of Carrefour, Port-au-Prince, Ouest, Haiti.",Caribbean,Le Nouvelliste,National,Attack,1,1582840327,2019
1081,Protesters (Haiti),,Sud-Est,Jacmel,Marigot,,,Haiti,6958437,2019-05-06,HTI80,80,Protests,0,1,6,0,60,332,HTI,18.2317,Marigot,-72.3229,"On May 6, 2019, rioters moved barriers to demand the building of a road in the city of Marigot, Jacmel, Sud-Est, Haiti. [size=no report]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
